INFO 2025-07-06 18:37:25,801 autoreload 4936 3052 Watching for file changes with StatReloader
INFO 2025-07-06 18:38:53,567 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:53,663 basehttp 4936 9480 "GET /api/students/?class_admitted=Class%201&gender=girls HTTP/1.1" 200 456
INFO 2025-07-06 18:38:53,668 basehttp 4936 2896 "GET /api/subjects/?class_fk=1 HTTP/1.1" 200 465
INFO 2025-07-06 18:38:53,713 basehttp 4936 13268 "GET /api/monthly-tests/?class_fk=1&month=2025-07-01 HTTP/1.1" 200 3551
INFO 2025-07-06 18:38:53,745 basehttp 4936 13268 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:54,163 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:54,627 basehttp 4936 13268 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:54,713 basehttp 4936 13268 "GET /api/students/?class_admitted=Class%201&gender=boys HTTP/1.1" 200 921
INFO 2025-07-06 18:38:54,747 basehttp 4936 9480 "GET /api/monthly-tests/?class_fk=1&month=2025-07-01 HTTP/1.1" 200 3551
INFO 2025-07-06 18:38:54,778 basehttp 4936 2896 "GET /api/subjects/?class_fk=1 HTTP/1.1" 200 465
INFO 2025-07-06 18:38:54,780 basehttp 4936 9480 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:55,226 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:55,714 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:56,232 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:56,742 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:57,243 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:57,837 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:58,530 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:59,017 basehttp 4936 9480 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:59,042 basehttp 4936 9480 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:59,092 basehttp 4936 9480 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:59,127 basehttp 4936 9480 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:59,278 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:59,837 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:39:00,259 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:39:00,480 basehttp 4936 2292 "GET /api/students/?class_admitted=Class%201&gender=boys HTTP/1.1" 200 921
INFO 2025-07-06 18:39:00,499 basehttp 4936 2896 "GET /api/subjects/?class_fk=1 HTTP/1.1" 200 465
INFO 2025-07-06 18:39:00,535 basehttp 4936 13268 "GET /api/monthly-tests/?class_fk=1&month=2025-07-01 HTTP/1.1" 200 3551
INFO 2025-07-06 18:39:00,560 basehttp 4936 13268 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:39:00,806 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:39:01,528 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:39:02,089 basehttp 4936 13268 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:39:02,590 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
